,Unnamed: 0,gaia_id,koi_disposition,koi_score,pl_hostname,pl_orbper,pl_orbsmax,source,designation,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,mean_varpi_factor_al,rv_nb_transits,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,source_id,distance,r_lo,r_hi,ext_B_V,ext_bp_rp,ext_G,bp_rp0,G0,M_G0
70,70,Gaia DR2 2079004040903468160,CANDIDATE,1.0,KIC 8189801,0.66682654,0.0123,DR25,Gaia DR2 2079004040903468160,298.92633912552367,0.029365260813233027,44.002175946381456,0.02868248871323388,2.3055120256320603,0.032465390443620686,71.01446,-8.861743570743007,0.06439201547816419,-4.00551012983386,0.05685706436545364,0.16481763,-0.02909417,-0.13921754,-0.09194178,0.21347852,-0.12794934,-0.21444952,-0.16884720000000003,-0.02267899,0.18220419,219.0,0.0,217.0,2.0,0.07303824,212.8384,0.01834651182187481,0.029535968426932107,15.0,-0.07411861,0.0,15.731476999999998,1.7287693,0.83341694,0.89535236,,,b'NOT_AVAILABLE',78.66108181006412,8.024110628465596,2.079004040903468e+18,428.50130271832603,422.576242563284,434.59182441187994,0.034880399347041895,0.046704854725689096,0.0955722942108948,1.6820644452743108,15.635904705789104,7.571716267040898
71,71,Gaia DR2 2126343823271448832,CONFIRMED,0.15,KIC 8235924,0.5880010529999999,0.0114,DR25,Gaia DR2 2126343823271448832,292.7734522848991,0.022515085965764816,44.17808801057307,0.025799028630288327,3.1258021476397397,0.028762073978967243,108.67791000000001,11.04393984066869,0.0519736670905664,-0.4126652807372992,0.04655626752605934,0.10635236,0.20339175,-0.10358614,0.10560985,0.48781562,0.025283242,-0.12593937,-0.11934874,0.060368877,0.14401913,196.0,0.0,195.0,1.0,0.94967866,208.41055,0.0,0.0,16.0,0.0010431264999999999,0.0,14.914684,1.7468605,0.8472662000000001,0.8995943000000001,,,b'NOT_AVAILABLE',76.69172676109612,11.998076009620315,2.1263438232714488e+18,317.022456076829,314.135967706013,319.961518058303,0.0221999987555876,0.029725798333731797,0.06082799659031003,1.7171347016662681,14.853856003409689,7.409233868645689
73,73,Gaia DR2 2105949394402381056,CANDIDATE,0.937,KIC 8283875,0.8002632190000001,0.014,DR25,Gaia DR2 2105949394402381056,284.77264176010215,0.02535045632850218,44.24928176674994,0.02996527744994152,1.7971351679439995,0.030531851603391162,58.86099599999999,-4.017021458786783,0.055528271558494026,-14.054967343729635,0.056022674523435234,-0.067275785,-0.16116960000000002,-0.18414536,-0.013460953999999999,0.34072706,-0.052368697,-0.221138,-0.0390736,-0.13798185,0.009903842,226.0,0.0,224.0,2.0,0.16910122,221.88495,0.0,1.358041807200995e-15,17.0,0.10225227,0.0,15.64339,1.5515642,0.73039913,0.8211651,,,b'NOT_AVAILABLE',74.36615904097799,17.27114344574997,2.1059493944023808e+18,547.812056292497,538.730250637915,557.199607973853,0.02485580513151643,0.0332819230711005,0.06810490606035503,1.5182822769288995,15.575285093939645,6.950232069942176
75,75,Gaia DR2 2105964306529014400,CONFIRMED,0.996,KIC 8416523,0.34184201700000005,0.0089,DR25,Gaia DR2 2105964306529014400,285.41065492935485,0.01799009781167779,44.41223180822038,0.020250871837181092,1.819115519341996,0.02120587157138266,85.78358,2.7058038437202376,0.040450922636881215,-0.4816918102872144,0.04228626918617991,-0.11289999,-0.2189268,0.006841088,0.01101885,0.23404410000000003,-0.050478756,-0.21303351,-0.16611709,-0.074852556,-0.020876258999999998,230.0,0.0,227.0,3.0,-1.7307541000000002,186.89629,0.0,0.0,16.0,-0.09907055,0.0,14.898913,1.2258987,0.5471964,0.67870235,,,b'NOT_AVAILABLE',74.69979535540085,16.906267005284686,2.1059643065290143e+18,541.188588629692,535.001104359681,547.518244280001,0.024243082359411264,0.03246148727925168,0.06642604566478687,1.1934372127207482,14.832486954335213,6.232169847025851
76,76,Gaia DR2 2081908881907251712,CANDIDATE,0.638,KIC 8527297,0.58730021,,DR25,Gaia DR2 2081908881907251712,301.6617970291668,0.017826123976891976,44.57745181927342,0.018142952047796212,0.8050887540058884,0.02117143617208891,38.027120000000004,0.027377917945751395,0.03585316800243511,-7.861767641826205,0.03345214077933677,-0.18236198,-0.08303968,-0.24816401,0.0834369,0.3992158,0.021192405,-0.24488191,-0.119135484,-0.10538821,-0.14502259,194.0,0.0,193.0,1.0,-2.539297,142.38017,0.0,0.0,13.0,-0.06462448,0.0,13.981639999999999,0.86785984,0.35253809999999997,0.51532173,,,b'NOT_AVAILABLE',80.17793077403897,6.6452149914302,2.081908881907252e+18,1199.92453173746,1169.9606386917,1231.43420009194,0.17961329734167594,0.24050220514050408,0.4921404347161921,0.627357634859496,13.489499565283806,3.5858703384312527
77,77,Gaia DR2 2126248505058677120,CONFIRMED,1.0,KIC 8558011,0.6381629329999999,0.0135,DR25,Gaia DR2 2126248505058677120,291.0571451135587,0.017459477882034776,44.632306003392095,0.01728989330192263,1.8976318549101776,0.019912370096306677,95.29915,-4.568328049711305,0.03487981832246369,-17.412555105116457,0.032631119525398135,-0.22202195,-0.23446846,-0.05607531,-0.04066395,0.33116806,-0.1487,-0.21740721,-0.24677533,-0.12588584,-0.12023573,221.0,0.0,220.0,1.0,-3.5660708,148.68434,0.0,0.0,15.0,-0.08692273,0.0,14.374639499999999,1.1293745000000002,0.49385548,0.635519,,,b'NOT_AVAILABLE',76.56527089452089,13.29978182493785,2.1262485050586767e+18,519.121806953177,513.769908229741,524.584343669948,0.02748137338562098,0.036797558963346494,0.07529896307660149,1.0925769410366537,14.299340536923397,5.79829313579733
78,78,Gaia DR2 2126556132093765888,CONFIRMED,0.0,KIC 8561063,0.453287416,0.0059,DR25,Gaia DR2 2126556132093765888,292.21959997203754,0.03177285171003278,44.61736674086256,0.03772735305008143,24.93396688621736,0.04008738390193088,621.99036,93.12582002897543,0.0730319824684729,-417.42026962610527,0.06713640478391437,-0.0929253,-0.07752351,-0.1675355,-0.010021147,0.40816596,-0.11069587,-0.18468519,-0.2298627,-0.06905208,0.006779161,226.0,0.0,226.0,0.0,10.911973,537.7407,0.285570997997678,12.580999191880586,16.0,0.04642375,0.0,14.993085,2.6423092,1.4603834,1.1819258,,,b'NOT_AVAILABLE',76.91717354879727,12.54674097675648,2.126556132093766e+18,40.05954359401429,39.994832643917704,40.1244605575987,0.0031499013420906467,0.004217717897059376,0.008630729677328372,2.638091482102941,14.984454270322672,11.979555015068708
80,80,Gaia DR2 2078970230921775744,CANDIDATE,1.0,KIC 8639908,0.910020582,0.0151,DR25,Gaia DR2 2078970230921775744,297.00354590332364,0.02367400777362755,44.775087336539116,0.02719067065908709,1.9540048961411267,0.029268900526396694,66.76044499999999,1.4660529098646813,0.049732527820926895,-3.900629519788615,0.05099744338172692,0.09635149999999999,0.096043885,-0.0599607,-0.039606906000000004,0.25307333,-0.10189195,-0.21888788,-0.2858344,-0.10034058,0.10558138,204.0,0.0,204.0,0.0,-3.1403548999999997,142.16127,0.0,0.0,16.0,0.042125015999999994,0.0,15.358223,1.4928541000000002,0.6955241999999999,0.7973299,,,b'NOT_AVAILABLE',78.65439872966293,9.60055108587114,2.078970230921776e+18,504.470083640865,497.07261092381697,512.087001467749,0.0758717036345496,0.10159221116666192,0.20788846795866595,1.3912618888333383,15.150334532041335,6.84404591715446
81,81,Gaia DR2 2106733724149606016,CANDIDATE,0.449,KIC 8673511,0.7572612809999999,0.0163,DR25,Gaia DR2 2106733724149606016,284.2956474657035,0.01186266648968113,44.895898350211404,0.014177190258033948,1.4294160733720425,0.013885558678272123,102.94264,-2.723658899469363,0.02628420600948711,17.408799508244385,0.02878495940673432,-0.080006614,0.02345102,-0.056641847,0.016108865,0.21814765,-0.029192025,-0.26111883,-0.07192158,0.032905046,0.03969224,246.0,0.0,245.0,1.0,-3.1362832000000003,177.09146,0.0,0.0,17.0,0.09186848,0.0,14.006134,0.9701948,0.4126873,0.5575074999999999,,,b'NOT_AVAILABLE',74.87068053604541,17.820835524368693,2.106733724149606e+18,685.7493668126319,679.231971306647,692.3907639704089,0.028070848533223013,0.03758686618598561,0.07691412498103106,0.9326079338140144,13.929219875018969,4.825306923647473
82,82,Gaia DR2 2106316390767391872,CANDIDATE,0.9670000000000001,KIC 8677057,0.694611128,0.0137,DR25,Gaia DR2 2106316390767391872,286.3104601941368,0.025867943639692862,44.83819016010949,0.027538737415776282,1.653674114056974,0.028641217995650392,57.737564,-5.8478038157400745,0.05717672718474025,-6.0560021636808345,0.05393577382903561,-0.03017255,0.087927006,-0.18994458,0.017977023,0.15878338,0.009227701,-0.3207743,-0.118646875,-0.13532418,-0.0016245175,225.0,0.0,225.0,0.0,-1.1562716999999998,196.00832,0.0,0.0,16.0,0.065124005,0.0,15.681823000000001,1.4207306,0.65344715,0.76728344,,,b'NOT_AVAILABLE',75.36174946623998,16.470945522039138,2.106316390767392e+18,594.5149526351361,584.484062443511,604.8897297280799,0.024598644699340748,0.03293758525241726,0.06740028647619366,1.3877930147475828,15.614422713523808,6.811009089875185
83,83,Gaia DR2 2106322816038478592,CANDIDATE,1.0,KIC 8741367,0.9886684,0.0222,DR25,Gaia DR2 2106322816038478592,286.29131671333806,0.017807334602397206,44.920099045555936,0.020844753521932203,1.848699777730756,0.02050198483874316,90.171745,1.8928031559690712,0.039680039258753984,3.0036446116418083,0.0423646830482587,-0.05826861,-0.015303663,-0.270081,0.03962205,0.13434704,0.019040803999999998,-0.21692945,-0.10595382,-0.111263715,-0.1008095,223.0,223.0,223.0,0.0,5.8952017,364.77752999999996,0.0,0.0,16.0,0.07689678,0.0,12.395415,0.665658,0.26101017,0.40464783,,,b'NOT_AVAILABLE',75.43557127464949,16.514334804454762,2.1063228160384783e+18,532.6532791063939,526.85524535927,538.578011419061,0.02355273989226536,0.031537118715743315,0.06453450730480709,0.6341208812842567,12.330880492695194,3.763191975209864
84,84,Gaia DR2 2106374557504930944,CONFIRMED,0.9940000000000001,KIC 8804845,0.762132307,0.0162,DR25,Gaia DR2 2106374557504930944,285.3873706214796,0.0154871190291805,45.04902650342676,0.019082755601815184,1.4689650714097204,0.01830997940034746,80.22756,-6.826620817668415,0.034694605810903334,-5.7998150609472425,0.03635570705240853,0.0023366546,-0.16134572,-0.08946316,0.03150721,0.2600951,0.024930665,-0.25259712,0.00725864,-0.04246113,0.09622432,194.0,0.0,193.0,1.0,-3.7552269,123.67506399999999,0.0,0.0,16.0,0.08651949,0.0,14.272647000000001,0.96054935,0.40566254,0.5548868,,,b'NOT_AVAILABLE',75.31274476369785,17.155876732166504,2.1063745575049308e+18,667.692698967208,659.566700815995,676.017738419834,0.02656297124951886,0.03556781850310575,0.07278254122368169,0.9249815314968942,14.19986445877632,5.149763863145823
86,86,Gaia DR2 2127065652653876992,CONFIRMED,0.98,KIC 8947520,0.968527683,0.0191,DR25,Gaia DR2 2127065652653876992,289.8844102135073,0.040672435701403706,45.21150751808182,0.03813972050442189,1.219249217184646,0.03911781476682216,31.168644,0.5434769368360506,0.0951117691923396,-2.3974233716640985,0.07735952984558223,-0.11708934,-0.12850085,-0.42026454,0.063325115,0.11958496,0.04567564,-0.40866855,0.08735089,-0.14685419,-0.14706975,202.0,0.0,202.0,0.0,14.330762,638.87585,0.3321238341366672,20.942951676029697,16.0,0.13964047,0.0,14.478798000000001,0.9109086999999999,0.37275982,0.5381489,,,b'NOT_AVAILABLE',76.74947816595395,14.296258553947006,2.1270656526538767e+18,801.993109876868,777.405205350453,828.1564904554649,0.029842802570768847,0.039959512642259484,0.08176927904390664,0.8709491873577404,14.397028720956094,4.957944814160918
87,87,Gaia DR2 2079404572371719680,CONFIRMED,1.0,KIC 9044228,0.934885365,0.0184,DR25,Gaia DR2 2079404572371719680,298.3266169136329,0.01666848761108447,45.3154212175499,0.01761540819323594,3.2295167218455423,0.02036999154002404,158.54286000000002,4.932793707670862,0.03437069001100701,-19.27618716563363,0.031635326288648166,-0.025599657,0.010760115,-0.12440711,-0.018148191,0.4071544,-0.11053891,-0.24353049999999998,-0.23732688,-0.11364427,-0.027020212000000002,200.0,0.0,200.0,0.0,-4.9231586,112.57574,0.0,0.0,15.0,0.030431423,0.0,14.095752,1.3899603,0.6389408000000001,0.7510195,,,b'NOT_AVAILABLE',79.59564290950424,9.049987712433373,2.07940457237172e+18,306.909865814789,304.988573239635,308.855081838978,0.025881317209519174,0.03465508374354617,0.07091480915408255,1.3553052162564538,14.024837190845917,6.660697753343413
89,89,Gaia DR2 2126673848558272384,CANDIDATE,0.981,KIC 9087580,0.770658979,0.0154,DR25,Gaia DR2 2126673848558272384,291.3721924836765,0.022666474289103896,45.468146163758675,0.024799186313924595,1.5269753691553551,0.028526873921493383,53.527609999999996,-3.5649476007049956,0.047260803667056185,7.200171378284067,0.04503901231117016,-0.03253694,-0.17243695,0.04073232,0.01620842,0.3948532,-0.15404279999999998,-0.20035625,-0.35857937,-0.10979328,0.14855473,213.0,0.0,212.0,1.0,-1.7550111000000002,172.7133,0.0,0.0,16.0,0.0587382,0.0,15.115169,1.1965780000000001,0.5314255,0.66515255,,,b'NOT_AVAILABLE',77.44016187695371,13.453736372921384,2.1266738485582725e+18,642.971405388549,631.3002144818901,655.0741886277871,0.028600681369908645,0.03829631235430767,0.07836586695354969,1.1582816876456925,15.03680313304645,6.0742107042599365
90,90,Gaia DR2 2126524001437900928,CONFIRMED,1.0,KIC 9092504,0.962864171,0.0183,DR25,Gaia DR2 2126524001437900928,293.2045008760536,0.028542713641283718,45.435391894980675,0.034564107448847685,0.712903912367554,0.0358567911453262,19.881977,-0.6018492044400742,0.06177252019738121,-3.7303859831660926,0.061595958943828376,-0.14577429,-0.24689277,-0.019390713,0.0060011316,0.3335938,-0.13411433,-0.316853,-0.25808954,-0.16105767,0.013531323500000001,213.0,0.0,213.0,0.0,-1.0020276,187.60161000000002,0.0,1.3934889518778278e-15,16.0,0.059501722,0.0,15.775295999999999,1.014514,0.43135738,0.5831566,,,b'NOT_AVAILABLE',77.98304533697494,12.281937254771329,2.1265240014379008e+18,1350.3237948802198,1286.51563232199,1420.65432082668,0.06244454110703494,0.08361324054231979,0.17109804263327574,0.9309007594576801,15.604197957366724,5.1231063965307175
91,91,Gaia DR2 2127096198461768704,CANDIDATE,0.9890000000000001,KIC 9149789,0.352515897,0.0092,DR25,Gaia DR2 2127096198461768704,289.8588634024416,0.01677530547910609,45.503775683297796,0.02290880921264352,1.35574066900371,0.021611633758884474,62.73198299999999,-4.198303561059074,0.037450451154126665,-11.257506708642133,0.04319305669444075,-0.032958943,0.012513446000000001,-0.077526025,0.030160097,0.23105536,-0.061285228,-0.34375197,-0.27789888,-0.015809648,0.07129499,222.0,0.0,220.0,2.0,-0.93883073,195.48731999999998,0.0,0.0,16.0,0.03311907,0.0,14.84886,1.0092486999999999,0.42754555,0.5817032,,,b'NOT_AVAILABLE',77.01697225038455,14.432617756892533,2.1270961984617687e+18,722.365820867648,711.176401812647,733.906418681554,0.02795292769967539,0.037428970189865345,0.07659102189711058,0.9718197298101345,14.77226897810289,5.55507405544218
92,92,Gaia DR2 2107198194795296000,CANDIDATE,1.0,KIC 9203154,0.8399071579999999,0.0162,DR25,Gaia DR2 2107198194795296000,284.1252212746392,0.029212442573234423,45.62805598587275,0.02955568923575739,1.4298834499228128,0.03261755223347576,43.837852000000005,4.375634125313696,0.06470453502428174,2.2688075463312174,0.0620834050262119,-0.064809285,-0.18696992,-0.25374746,0.08101059,0.30919454,0.023452379,-0.20319727,-0.02719126,-0.2289763,-0.059734333,198.0,0.0,197.0,1.0,0.94872826,210.48811,0.0,0.0,16.0,-0.020240951,0.0,15.662423,1.2185535,0.5409384,0.67761517,,,b'NOT_AVAILABLE',75.54639697766126,18.191622925725298,2.107198194795296e+18,685.862267900923,670.737215396608,701.6722142908479,0.028236237001766994,0.037808321345366006,0.07736728938484157,1.1807451786546341,15.585055710615158,6.481238444033599
93,93,Gaia DR2 2128039304560957952,CONFIRMED,0.995,KIC 9221517,0.769854899,0.0157,DR25,Gaia DR2 2128039304560957952,293.13118032257626,0.014668817904825503,45.66341530354949,0.017178013863646143,2.62327527074587,0.01673862504592621,156.71988000000002,13.549649634471256,0.031217503072030063,-28.530604686350088,0.031292748540636746,0.16706707,-0.064750195,-0.32196847,-0.16671342,0.30741033,-0.21213084,-0.32575583,-0.175263,0.053929012,0.22590986,196.0,0.0,196.0,0.0,-4.5729747000000005,114.3643,0.0,0.0,14.0,0.019523395,0.0,13.804276999999999,1.1463165000000002,0.5027437,0.6435728000000001,,,b'NOT_AVAILABLE',78.16898822292067,12.429040516516713,2.128039304560958e+18,377.059564508023,374.676736436029,379.47234773888704,0.02223968937448452,0.02977894407243477,0.06093674888608759,1.1165375559275654,13.743340251113912,5.922227192024037
