,pl_hostname,pl_orbper,pl_orbsmax,gaia_id,source,designation,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,mean_varpi_factor_al,rv_nb_transits,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,source_id,distance,r_lo,r_hi,petigura_radial_velocity,ra_prop,dec_prop,LAMOST_radial_velocity,gaia_rv,rv_source,ext_B_V,ext_bp_rp,ext_G,bp_rp0,G0,M_G0
64,KIC 9580167,0.82715274,0.015853442892619994,Gaia DR2 2130359858208650752,SO,Gaia DR2 2130359858208650752,288.18188101022974,0.01888374029581396,46.24606057739421,0.03289057315909526,1.965488847931939,0.023774729104950626,82.67135,-10.920391250300586,0.04133565103170482,-19.655883445658827,0.05607760467637575,-0.10975512,-0.10657292,0.023702458,0.038834557,0.15181108,-0.049085166,-0.6830371,-0.27671778,0.054025922,-0.041404434,193.0,0.0,193.0,0.0,-1.3134923,163.05624,0.0,0.0,14.0,0.059540946,0.0,14.899708,1.2199497,0.5235119,0.69643784,,,b'NOT_AVAILABLE',77.23813890620364,15.799537250065017,2.1303598582086508e+18,501.481656569006,495.527765247236,507.577736916188,,288.18194899889124,46.246145206872214,,, ,0.022860000556408834,0.030609540745031426,0.06263640152456021,1.1893401815450075,14.837071392664892,6.398432535089803
65,KIC 9787239,0.74295778,0.01148665413457653,Gaia DR2 2080287892525359872,SO,Gaia DR2 2080287892525359872,297.8423072830826,0.02667893748680902,46.57435950627034,0.031168328600218256,3.059480188079765,0.032197589667293344,95.022026,-13.617631233845389,0.058046061096578026,19.645633109310012,0.06811532402576316,-0.0880768,0.02636678,0.02528889,-0.14451267,0.09376014,-0.15995325,-0.1302659,-0.22514434,-0.006738641,-0.06398651,227.0,0.0,225.0,2.0,0.39197388,227.64227,0.0,0.0,16.0,0.046058472,0.0,15.812304,1.9770956,0.99526215,0.98183346,,,b'NOT_AVAILABLE',80.5391833612077,9.962320439157,2.0802878925253599e+18,323.846626337988,320.478993926569,327.284494985727,,297.8423925759286,46.57427492087386,,, ,0.023110599278479055,0.030945092433883454,0.06332304202303261,1.9461505115089877,15.748980501067788,8.260606657268745
66,KIC 10024051,0.57736948,0.013192445525897448,Gaia DR2 2080534148769345408,SO,Gaia DR2 2080534148769345408,296.55276095423034,0.017522844259151616,46.9661944559835,0.020234540803312554,1.9113810286874344,0.020258635092909517,94.34895,-46.461081571003035,0.037418184908623565,-19.27918739596899,0.04306409747346375,0.0232465,-0.05834959,-0.11199761,-0.14526589,0.18446784,-0.15978107,-0.26017427,-0.13667981,0.02945215,0.012100531,228.0,0.0,228.0,0.0,-2.8853724,166.89624,0.0,0.0,17.0,0.05148181,0.0,14.861212,1.1522217,0.50141907,0.6508026,-86.5,,b'NOT_AVAILABLE',80.4566550920058,10.925146792773244,2.0805341487693455e+18,515.453190005729,510.085380818025,520.933113416744,-86.5,296.553054084882,46.96627746322185,-89.19,,Petigura,0.031053231443049355,0.041580276902243085,0.08508585415395524,1.110641402785257,14.776125922579443,6.300265618211551
67,KIC 10028535,0.66308666,0.016716104569528475,Gaia DR2 2086307031492729856,SO,Gaia DR2 2086307031492729856,297.8414628441221,0.023041037408658354,46.96762884001135,0.026947065760620646,1.2130996323847942,0.025012006205023894,48.500694,-8.180942343872596,0.05279689198591075,-5.801619901335761,0.05494878453920768,0.05424748,0.030616915,-0.3878083,-0.09900321,0.17393224,-0.12515442,-0.40906546,-0.10369862,-0.10792119,-0.0524796,227.0,0.0,226.0,1.0,-0.28712678,214.36438,0.0,0.0,17.0,0.0495691,0.0,15.332972,1.1634979,0.51016045,0.6533375,,,b'NOT_AVAILABLE',80.88764205317631,10.15452242751805,2.0863070314927299e+18,805.56172337302,789.525944347863,822.250171642893,,297.8415144603691,46.96765381919654,,, ,0.053947362067982264,0.07223551780902825,0.14781577206627142,1.0912624069956594,15.185155800809705,5.80247746118348
68,KIC 10281221,0.58289571,0.02616213366999481,Gaia DR2 2128571777426188928,SO,Gaia DR2 2128571777426188928,294.6125141626632,0.019049277258209676,47.34323569506235,0.020657937928891482,0.7003489857528873,0.02158621460923066,32.44427,-0.7560770595044439,0.04172307952157939,-4.353615653709401,0.03990153110332275,-0.07137229,0.0092949495,-0.21556696,0.022423767,0.23870356,-0.031694636,-0.28784415,-0.2134578,-0.0801141,-0.016442126,220.0,0.0,218.0,2.0,-3.5662253,147.02573,0.0,0.0,17.0,0.13735917,0.0,14.922145,0.8421335,0.3423853,0.49974823,0.8,,b'NOT_AVAILABLE',80.17381721892036,12.269066834204915,2.1285717774261888e+18,1371.99819539223,1332.23366529171,1414.16227489501,0.8,294.6125189668388,47.3432544397963,,,Petigura,0.05961093492840332,0.07981904186913204,0.1633339617038251,0.7623144801645594,14.758810928127717,4.235378142817327
69,KIC 10319385,0.68920948,0.013776544213874295,Gaia DR2 2119593990103923840,SO,Gaia DR2 2119593990103923840,281.5511777082461,0.010669813824688686,47.46999308881365,0.012131558124593177,1.9581216251610913,0.012222567715084308,160.20543,-3.737861072785789,0.022534653474660837,10.697004673327182,0.0243190886973926,-0.088331565,-0.1105286,-0.14620158,0.07374266,0.1613809,0.012018261,-0.37098977,-0.2880911,0.03737531,-0.0033335397,235.0,0.0,234.0,1.0,-3.7969956,156.45554,0.0,0.0,17.0,0.109156184,0.0,13.22144,0.8924866,0.37003708,0.5224495,-38.4,,b'NOT_AVAILABLE',76.7648708598336,20.472710911588162,2.1195939901039237e+18,503.266629374126,500.166532183283,506.404702273957,-38.4,281.5512015161159,47.46994703226327,-42.68,,Petigura,0.02872517408595471,0.038463008101093356,0.07870697699551592,0.8540235641645316,13.142733338251066,4.712448690901438
70,KIC 10468885,0.66407444,0.017336941948866924,Gaia DR2 2129192692257862912,SO,Gaia DR2 2129192692257862912,291.27895491153237,0.027255901966386033,47.68757661250231,0.03006204595207018,1.1051689467792067,0.029975984719950027,36.868477,-4.982597052941559,0.06595667539996718,-20.3286111293082,0.06833338538273158,-0.016577698,-0.19771628,-0.03354817,-0.028134894,0.095942274,-0.062307145,-0.44204062,-0.06792798,0.12511285,0.118308164,216.0,0.0,216.0,0.0,-1.8281753,175.03929,0.0,0.0,15.0,0.020449828,0.0,15.662239,1.2019768,0.5341873,0.66778946,,,b'NOT_AVAILABLE',79.48674975686185,14.4462182580768,2.129192692257863e+18,882.324129993701,859.412591120399,906.467016941272,,291.2789867798463,47.68766413846248,,, ,0.031099103479669907,0.041641699559278,0.08521154353429555,1.1603350765637688,15.577027531172735,5.934098291857893
71,KIC 10604521,0.86812153,0.021783718743798936,Gaia DR2 2128811470960380160,SO,Gaia DR2 2128811470960380160,293.6835400596954,0.026146049791981103,47.83316234152926,0.03535758839608752,0.592680259519145,0.030746664252994618,19.276245,3.175307771205162,0.05935154637736343,2.4035393878263362,0.06622494321675314,0.038201317,0.08915679,-0.13644649,-0.13894838,0.20083551,-0.2030361,-0.45010412,-0.151717,-0.025133003,0.07611854,219.0,0.0,219.0,0.0,-2.4151719,167.25606,0.0,0.0,15.0,0.08963927,0.0,15.787234,0.9476824,0.39608288,0.5515995,,,b'NOT_AVAILABLE',80.33592071317463,13.04853019431538,2.1288114709603802e+18,1610.1283035044,1532.4796713398,1695.88551559256,,293.6835196937931,47.8331519929551,,, ,0.05204450557832201,0.06968759296937317,0.14260194528460232,0.8779947877068963,15.644632361050848,4.7529328385964185
72,KIC 10647452,0.76295078,0.020063045857242938,Gaia DR2 2107681262654003328,SO,Gaia DR2 2107681262654003328,282.91401505271426,0.028704261470789225,47.97019869856358,0.027937158686664545,1.0502322909762443,0.028578869544688593,36.748558,-3.117996152981231,0.06546541075944716,-14.27709280087894,0.05543134388793894,-0.09703073,0.028614199,-0.38604325,0.12205705,0.18517834,0.11946553,-0.34541017,-0.10839554,-0.19330907,-0.07505466,199.0,0.0,199.0,0.0,0.21586177,197.60745,0.0,0.0,15.0,0.09508522,0.0,15.580007,1.0688095,0.4519682,0.6168413,-15.6,,b'NOT_AVAILABLE',77.58123419598736,19.763355112885755,2.1076812626540032e+18,927.144439841641,903.02859089195,952.558512280153,-15.6,282.9140351040657,47.97026016937806,,,Petigura,0.038710444229911774,0.05183328482385186,0.10606661718995827,1.016976224453492,15.473939982236312,5.744268654966744
75,KIC 11246161,0.53740984,0.01623013074075793,Gaia DR2 2129686647856175104,SO,Gaia DR2 2129686647856175104,292.87415768239833,0.01679710404773103,48.936545684239455,0.019784963395762953,0.8842491147021637,0.01913231716945021,46.217564,0.10021479203335337,0.037882450108832,-9.255412262574453,0.03649662232001642,-0.12644094,-0.07391943,-0.1210531,0.021514567,0.2815783,-0.018396962,-0.35223913,-0.08306088,-0.07778087,-0.08428234,235.0,0.0,234.0,1.0,0.07917063,230.0292,0.0,0.0,16.0,0.015297161,0.0,14.815617,0.8780689,0.3596058,0.51846313,18.8,,b'NOT_AVAILABLE',81.11705614887151,14.012683889042746,2.129686647856175e+18,1095.37961484459,1072.72318045399,1118.99543664452,18.8,292.874157025549,48.936585533931144,,,Petigura,0.04003241704674256,0.053603406425588286,0.10968882270807463,0.8244655175246071,14.705927784957941,4.617793335706777
76,KIC 11401182,0.92785963,0.018753474276556,Gaia DR2 2129939398090453504,SO,Gaia DR2 2129939398090453504,290.9576362899095,0.015190341323774894,49.20372616066865,0.018061909626544723,2.2911069726365785,0.017492997737671497,130.97281,10.251812909881146,0.03387456809631851,-17.67981549744097,0.03493000670444564,-0.10462493,-0.051650696,-0.20056263,0.020113323,0.23564325,0.0035229863,-0.19742265,-0.058182515,-0.051821925,-0.023298131,237.0,0.0,237.0,0.0,-4.335603,150.08017,0.0,0.0,17.0,0.027962182,0.0,14.638579,1.246685,0.5596695,0.68701553,5.9,,b'NOT_AVAILABLE',80.82528433426387,15.264913041261007,2.1299393980904535e+18,431.051154147867,427.800647981914,434.350539526857,5.9,290.95756873289696,49.20380228207679,6.06,,Petigura,0.02164730112946198,0.02898573621234959,0.05931360509472583,1.2176992918638223,14.579265763496583,6.465936260952976
77,KIC 11547505,0.93846561,0.024999516854754267,Gaia DR2 2132214871762396160,SO,Gaia DR2 2132214871762396160,284.7316083637216,0.012272602768983577,49.533149014386595,0.013339396164156397,1.8356742647406132,0.0133087729879725,137.92964,19.00190604392532,0.02599399537614611,-7.391005323864236,0.025304479214937642,-0.11117663,-0.18124229,-0.20261319,0.073582366,0.2558894,0.0053330967,-0.41621614,-0.20390618,-0.09888529,-0.060487,239.0,0.0,239.0,0.0,-2.984705,174.63876,0.0,0.0,17.0,0.06396449,0.0,13.745041,0.8964577,0.3707323,0.52572536,21.1,,b'NOT_AVAILABLE',79.56584729950613,19.149499361724118,2.1322148717623962e+18,536.32318955656,532.493287906837,540.207585319474,21.1,284.73148230392655,49.53318083670216,15.46,,Petigura,0.02769881988458342,0.0370887198254572,0.07589476648375858,0.8593689522936834,13.66914612707093,5.097908016526766
78,KIC 11600889,0.66931017,0.015525119903996068,Gaia DR2 2132086400701217792,SO,Gaia DR2 2132086400701217792,286.0363024568807,0.02071392667519127,49.61450267971018,0.021831033704439277,2.9266171173536932,0.021783973657522927,134.34726,-3.5431445512621234,0.043004909875319276,-0.5155410138768821,0.04339563814024679,0.024623135,-0.20091592,-0.33241975,-0.14464834,0.17354879,-0.13492751,-0.27517164,-0.017423185,0.055938415,0.17134443,202.0,202.0,202.0,0.0,1.450849,226.4922,0.0,0.0,15.0,-0.08506466,6.0,12.5073805,0.95430374,0.40789318,0.54641056,-24.9,0.639614732358156,b'NOT_AVAILABLE',79.9537354419696,18.38300007607658,2.1320864007012178e+18,338.367895580251,335.873195506726,340.899260932311,-24.9,286.03632600148757,49.61450489939579,-37.05,-24.129627515952105,Petigura,0.020813756706321462,0.027869620229764438,0.05702969337532081,0.9264341212253137,12.450350792159346,4.860435687376528
79,KIC 11752632,0.9849389,0.015872509808389938,Gaia DR2 2132156632006693504,SO,Gaia DR2 2132156632006693504,285.4049722635581,0.013740225295425554,49.99481864528744,0.01642953672762555,1.3648488400362502,0.01693435079277612,80.596466,1.3224429934216206,0.027691894249426415,22.52450097684025,0.02686553311879896,-0.07922259,-0.19739603,-0.17357817,0.04557877,0.4791294,-0.03792296,-0.20887807,-0.13668722,-0.09530208,0.045701865,211.0,0.0,211.0,0.0,-1.4662086,177.04607,0.0,0.0,14.0,-0.00011215671,0.0,13.784736,0.813673,0.3271122,0.48656082,-61.3,,b'NOT_AVAILABLE',80.18130395105608,18.896966343703912,2.1321566320066934e+18,717.555337657652,708.874926460029,726.447059470647,-61.3,285.40496340646956,49.99472166479679,-66.83,,Petigura,0.030647502049446308,0.041037005244208606,0.0839741556154829,0.7726360141649711,13.700761524010982,4.505459636496184
80,KIC 11870545,0.8399616,0.01755086344287118,Gaia DR2 2135140981443805312,SO,Gaia DR2 2135140981443805312,295.084100056599,0.02840128476529523,50.11463797321484,0.0286229906800073,1.2884127043684863,0.031097946009331915,41.430798,-9.644462732257612,0.06156431678642363,-1.7860672574639236,0.05627234926119859,-0.04712818,-0.082267225,-0.04625322,-0.046814512,0.24608979,-0.12344909,-0.25396338,-0.24279425,-0.08693082,0.053659357,268.0,0.0,268.0,0.0,-1.4299341,230.9373,0.0,0.0,17.0,-0.0009152047,0.0,15.931404,1.2813673,0.5777111,0.7036562,,,b'NOT_AVAILABLE',82.85399598512036,13.240860759236389,2.1351409814438052e+18,759.586453762402,741.920075479133,778.098635106045,,295.08416481222116,50.11464566320864,,, ,0.031923504602466686,0.04274557266270289,0.08747040261075872,1.2386217292782151,15.843933711158773,6.528518058488716
81,KIC 11904151,0.8374906,0.017203938585203405,Gaia DR2 2132155017099178624,SO,Gaia DR2 2132155017099178624,285.67929796407213,0.02047449843872133,50.24148422358681,0.024042664380128594,5.3618456769911145,0.023300853122699073,230.11371,-18.3937490726302,0.044804558843499945,41.448083738905545,0.045877502621367854,0.052847333,-0.015037371,-0.006066007,-0.05854462,0.17200759,-0.12974972,-0.39141345,-0.28562236,0.06519521,0.09431189,201.0,201.0,196.0,5.0,6.351126,342.97882,0.0,2.0301221021717147e-15,15.0,0.08934567,10.0,10.919079,0.84401894,0.35221386,0.49180508,-99.1,0.39482983295644447,b'NOT_AVAILABLE',80.48987745161915,18.816263255259088,2.1321550170991785e+18,185.50578370393,184.701358845527,186.317120467188,-99.1,285.6794217916807,50.241305767982126,-104.14,-98.12168719668598,Petigura,0.015651895161417632,0.02095788762113821,0.042886192742284314,0.8230610485360883,10.876192634162013,4.577291553872845
82,KIC 12170648,0.29969767,0.011462471704819528,Gaia DR2 2135416409106562688,SO,Gaia DR2 2135416409106562688,296.96382767152755,0.021328495904086107,50.74541561497034,0.0278654448069452,1.9540674912743021,0.02706215037001102,72.20666,3.9318570653144143,0.04580928999771208,4.009806637928442,0.055576029742952976,-0.1682781,-0.034366217,-0.19049829,0.006383643,0.38989937,-0.024223207,-0.020246241,-0.12141527,0.17238973,-0.063473344,169.0,0.0,169.0,0.0,-0.122385636,161.1337,0.0,0.0,15.0,0.039802756,0.0,14.813299,1.1757727,0.52139854,0.6543741,-12.4,,b'NOT_AVAILABLE',83.99178185627866,12.465567245216015,2.1354164091065626e+18,504.413800858826,497.568455931158,511.446654712886,-12.4,296.96380091789615,50.74539835052204,,,Petigura,0.027593801855091204,0.036948100683967124,0.07560701708294991,1.1388245662471852,14.737692161994199,6.29936437685544
83,KIC 12265786,0.59701811,0.0246395706887558,Gaia DR2 2135567385797165184,SO,Gaia DR2 2135567385797165184,295.41489107850913,0.023884800591420088,50.97899119121053,0.027962463184485763,1.3241685542249968,0.02760862001553534,47.962143,11.778560624251256,0.05499009202679301,-5.42160105036581,0.0622444770253509,-0.11390715,0.16865446,-0.0071915854,-0.16898175,0.15803674,-0.14452289,-0.06332933,0.017837564,-0.1929686,-0.14804427,216.0,0.0,216.0,0.0,-0.12419954,207.79828,0.0,0.0,16.0,0.13243338,0.0,15.510877,1.1925106,0.5276861,0.6648245,,,b'NOT_AVAILABLE',83.74466348226184,13.44145436636467,2.135567385797165e+18,739.388192329605,724.481240750716,754.909902032999,,295.4148105307881,50.97901453418737,,, ,0.031766175146183954,0.042534908520740315,0.08703931990054405,1.1499756963376582,15.42383733567807,6.166513147801913
84,KIC 12405333,0.76486301,0.02019697931435865,Gaia DR2 2133215461704521088,SO,Gaia DR2 2133215461704521088,290.08473892885183,0.017664389110151182,51.20861437704755,0.021521115630297516,1.410398662830403,0.02014651360610437,70.00708,-3.0722520984427812,0.03999436007898354,1.465901453361745,0.043771403226781025,-0.04706737,0.034351982,-0.17439367,0.019625604,0.18495302,-0.03770552,-0.33953443,-0.16715483,0.08751179,0.04920251,256.0,0.0,255.0,1.0,-2.2475953,202.45505,0.0,0.0,17.0,0.07901857,0.0,15.171993,1.1517086,0.50375557,0.64795303,0.0,,b'NOT_AVAILABLE',82.50634494920303,16.57576912506851,2.1332154617045212e+18,694.889697896777,685.22222986658,704.828805312859,0.0,290.08476004302986,51.2086080655255,-24.83,,Petigura,0.034422658119101904,0.046091939221477446,0.09431808324633922,1.105616663683796,15.077675172368895,5.96241389019357
