,gaia_id,koi_disposition,koi_score,pl_hostname,pl_orbper,pl_orbsmax,source,designation,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,mean_varpi_factor_al,rv_nb_transits,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,source_id,distance,r_lo,r_hi,petigura_radial_velocity,ra_prop,dec_prop,LAMOST_radial_velocity,gaia_rv,rv_source,ext_B_V,ext_bp_rp,ext_G,bp_rp0,G0,M_G0,gal_U,gal_V,gal_W,gal_u,gal_v,gal_w
39,Gaia DR2 2077479121354236160,CONFIRMED,0.998,KIC 6294819,0.6756504040000001,0.0153,DR25,Gaia DR2 2077479121354236160,294.7669795325301,0.03611426375560474,41.644643379310324,0.04251893674589263,0.5860217357096961,0.04713133812809501,12.433803,0.08044360227878788,0.07052670526472594,-3.85742364895499,0.08146250778084965,0.18500522,0.2602,-0.16077009,-0.22361694,0.25098842,-0.2332434,-0.3038466,-0.37565142,-0.19555916,0.08554229,177.0,0.0,176.0,1.0,1.4434687,198.37064,0.07086552923042408,0.33840582027844673,13.0,0.15591764,0.0,15.872868,0.9821663,0.41718864,0.56497765,,,b'NOT_AVAILABLE',75.07596271305896,9.542526891419202,2.0774791213542362e+18,1635.82497374639,1515.96056530733,1775.80855556294,,294.76697906904354,41.64465998766214,,, ,0.1005654121103313,0.13465708681573363,0.2755492291823078,0.8475092034674695,15.597318355046207,4.804183413354302,,,,433.3875055270489,1626.0450180673822,282.8898813596591
40,Gaia DR2 2075389018477664384,CONFIRMED,1.0,KIC 6310636,0.9210304970000001,0.0192,DR25,Gaia DR2 2075389018477664384,298.48110221391005,0.01634852071851463,41.61526030563427,0.018842895933589576,0.7343551662314901,0.01990405771153645,36.894745,-3.184536513682738,0.03665007654053641,-17.8994483730047,0.0442193639897785,0.106494196,0.082367875,-0.09877554,-0.047428086,0.19781615,-0.066370726,-0.1581588,-0.035593756,0.09680112,0.15819065,217.0,0.0,217.0,0.0,-3.791119,142.61333,0.0,0.0,15.0,0.038977355,0.0,14.5037565,0.99620914,0.41874886,0.5774603,-27.0,,b'NOT_AVAILABLE',76.415337766891,7.103165403251376,2.0753890184776643e+18,1311.2258132807,1277.60826305666,1346.62646293959,-27.0,298.4811205536985,41.6153373727022,,,Petigura,0.21414154884568282,0.2867355339043693,0.5867478438371709,0.7094736106879158,13.917008679295153,3.9153700251574097,113.06181657671895,-34.81356063565533,-36.2496963744368,317.3929114409459,1313.4839934794293,168.38760118946993
41,Gaia DR2 2101711155037463040,CONFIRMED,1.0,KIC 6362874,0.9748688959999999,0.0187,DR25,Gaia DR2 2101711155037463040,291.4332780694074,0.010714850208302226,41.7033162343024,0.012557566530756164,2.479418654683905,0.013311514682552964,186.2612,-4.867161396677016,0.022739246474956034,-25.488683647595607,0.02393506960512928,-0.006430457,-0.029856062,-0.08257466,-0.033825144,0.33531898,-0.0990864,-0.21866381,-0.184145,-0.016048493,0.04200995,256.0,0.0,256.0,0.0,-6.7284336,127.98816,0.0,0.0,16.0,0.029355265,0.0,13.467326,0.98873806,0.41991234,0.5688257,-2.7,,b'NOT_AVAILABLE',73.97974749864103,11.788140779281418,2.101711155037463e+18,398.676078808271,396.555536080468,400.819014153293,-2.7,291.4333061378223,41.70342597724246,,,Petigura,0.025603387665883277,0.03428293608461771,0.07015328220452019,0.9544551239129409,13.397172882041085,5.464226227458912,57.12851451896667,-0.9678331342608741,-6.004212808518701,108.95964848899516,379.48128814244103,82.39570258198992
42,Gaia DR2 2104120013212624512,CANDIDATE,0.413,KIC 6423922,0.9951412000000001,0.0091,DR25,Gaia DR2 2104120013212624512,284.23920310703124,0.03039266518212183,41.81861132415075,0.03596901528666921,11.658495341500409,0.03755916510088553,310.40347,-148.9357108461694,0.06445890567456115,-128.0024936583328,0.07416574577083973,-0.10243468,-0.025387892,-0.06881315,0.02653192,0.18209963,-0.06600448,-0.31663534,-0.31125152,0.0034501213,0.04535269,211.0,0.0,211.0,0.0,10.295746,492.4219,0.2639385616536492,10.538776631804183,16.0,-0.00996743,0.0,14.974844,2.5752068,1.4060974,1.1691093,,,b'NOT_AVAILABLE',71.85192773079049,16.74231785462574,2.1041200132126244e+18,85.5632112825982,85.2870507867543,85.8411340227522,,284.2400635543488,41.81916244278786,,, ,0.012593853939119817,0.016863170424481433,0.0345071597931883,2.5583435861673154,14.940336819088648,10.313408600077427,,,,25.583949811151538,78.05239265932232,24.708838331800028
43,Gaia DR2 2077654287299877248,CANDIDATE,0.994,KIC 6525946,0.496069986,0.0112,DR25,Gaia DR2 2077654287299877248,292.95419917544854,0.02498263420722902,41.934802458723226,0.029957826734997035,0.6325989650622688,0.02723026747021187,23.231464,2.1829863076876554,0.05301025579735865,-0.4338898866706614,0.05760871741442729,-0.18592449,0.009389114,-0.3746123,0.15116629,0.13569538,0.14746979,-0.52513725,-0.07735114,-0.09198338,-0.21702218,205.0,0.0,204.0,1.0,-1.062364,177.92996,0.0,0.0,14.0,-0.07761744,0.0,15.334232,0.8390322,0.34000778,0.4990244,0.6,,b'NOT_AVAILABLE',74.705327102292,10.875901502924698,2.0776542872998774e+18,1513.71505656409,1453.32992870475,1579.23054687253,0.6,292.95418654082516,41.93480432685953,,,Petigura,0.07219113481661436,0.09666392951944663,0.19780370939752337,0.7423682436372916,15.136428620924741,4.434011676458731,7.727879212384358,16.915298446784707,-8.412159164606216,409.49362040414127,1497.4041336620169,298.26545779366
44,Gaia DR2 2102436351673656704,CANDIDATE,,KIC 6592335,0.824000125,0.0113,DR25,Gaia DR2 2102436351673656704,287.26214735038815,0.03281882729845635,42.0322257181201,0.03959081110456304,5.77722474594511,0.04130772976757727,139.8582,-2.2114038646886027,0.07453225747914113,-13.674147166114889,0.07276532292978057,0.04829765,-0.026246956,0.010424067,-0.04697808,0.33363822,-0.13440973,-0.2316603,-0.22160406,-0.049025457,0.1222169,235.0,0.0,232.0,3.0,4.8941336,347.17838,0.2164502901844667,3.958754738559669,17.0,0.07289946,0.0,15.852478,2.3356123,1.2342224,1.1013899,,,b'NOT_AVAILABLE',72.95335798774633,14.74734065066596,2.1024363516736568e+18,172.24465363875,171.018517472378,173.488180769604,,287.26216016909655,42.03228459291968,,, ,0.018553492932081396,0.02484312703605699,0.05083657063390303,2.3107691700220485,15.801641456709847,9.671749274480959,,,,49.07079035870556,160.03730585912885,44.06217107024585
45,Gaia DR2 2101697548581701248,CANDIDATE,1.0,KIC 6607286,0.783276173,0.0165,DR25,Gaia DR2 2101697548581701248,292.17859645250144,0.023706823475694395,42.005838659373566,0.028919362149718558,0.9692432376105832,0.03249175226324839,29.830439,-2.459315124981927,0.0501007051351448,-15.495636745314968,0.048354929527161854,0.10576261,0.21074836,-0.11824012,-0.16276531,0.5443004,-0.19508834,-0.33373195,-0.20592178,-0.35842696,-0.019580498,185.0,0.0,184.0,1.0,0.47570542,187.46411,0.0,0.0,13.0,-0.08198576,0.0,14.952522,0.8920555,0.3686695,0.523386,-16.9,,b'NOT_AVAILABLE',74.50685689099386,11.423310179194885,2.101697548581701e+18,1003.01211763694,971.102800631043,1037.0483271929,-16.9,292.1786107023493,42.00590537669756,,,Petigura,0.04535289538807974,0.06072752692463877,0.1242669333633385,0.8313279845499706,14.828255344468692,4.945991378477363,78.47022324672616,-18.922601523815104,-18.521942567932683,270.14006637019844,974.546860639055,204.3410081963406
46,Gaia DR2 2125705488052032640,CONFIRMED,0.987,KIC 6607644,0.971915957,0.018000000000000002,DR25,Gaia DR2 2125705488052032640,292.28665647695647,0.0197116686685927,42.07259478447612,0.02393930486419295,1.598049030295444,0.024993287227624113,63.93913,9.066213312587466,0.04148600649680727,36.069323326182655,0.05060303212692248,-0.15252542,0.14136654,-0.062639646,-0.16601452,0.2013457,-0.14377359,-0.22071263,-0.15309507,-0.32191673,-0.24655488,166.0,0.0,166.0,0.0,-1.2060932,139.70534,0.0,0.0,14.0,-0.15622576,0.0,14.488042,1.0654631,0.45945644,0.6060066,-85.9,,b'NOT_AVAILABLE',74.60425045235948,11.381091467298335,2.1257054880520325e+18,614.827241415506,605.450143176603,624.493992914438,-85.9,292.28660389016216,42.07243948598867,,,Petigura,0.03319050085290467,0.04444208064203935,0.0909419723369588,1.0210209854590349,14.397099905409624,5.5442754154384986,-116.40975259949681,-44.806897521783476,13.353831933235366,162.86365598779432,591.4443724365816,123.48421361664748
47,Gaia DR2 2101746579928077440,CONFIRMED,1.0,KIC 6690836,0.568874717,0.0128,DR25,Gaia DR2 2101746579928077440,291.61188421724876,0.020421442108744546,42.11597868872559,0.022241988520784756,1.344569351522437,0.022768240295116517,59.0546,-0.3230535153792809,0.0429633453697007,-0.38726787797539736,0.044326450595078795,-0.11214181,-0.018045457,-0.27203703,0.05205011,0.13345988,0.02892269,-0.3992391,-0.1380456,-0.04940581,-0.08480929,250.0,0.0,250.0,0.0,-3.7744048,170.06436,0.0,0.0,16.0,0.040252164,0.0,15.233896,1.1666727,0.51753044,0.64914227,,,b'NOT_AVAILABLE',74.41822244912927,11.849479975501334,2.1017465799280773e+18,728.302756430821,716.330663061966,740.674383708575,,291.6118860923442,42.115980356128944,,, ,0.03476152927815963,0.04654568770345574,0.09524659022215738,1.120127018900548,15.138649665271007,5.922336487264927,,,,195.51936784440508,701.1327913787674,152.71902279145962
48,Gaia DR2 2077728538692850816,CONFIRMED,0.992,KIC 6697756,0.916142298,0.0156,DR25,Gaia DR2 2077728538692850816,293.6084289025083,0.013652985403490187,42.197874633062774,0.016679889747648263,4.902513443899626,0.016773880555756755,292.2707,-48.27720670297004,0.029634632945195315,37.33250431897963,0.03182754408186091,0.07987504,-0.03254077,-0.17321633,-0.10887144,0.2574077,-0.14956942,-0.32061455,-0.15551046,0.06112337,0.08937448,230.0,0.0,229.0,1.0,-3.4745367,157.68445,0.0,0.0,16.0,0.015265648,0.0,14.086642,1.5238285,0.7139387,0.8098898,,,b'NOT_AVAILABLE',75.16840877332353,10.562749069829067,2.0777285386928507e+18,202.78186182176,202.089260939806,203.479141439757,,293.6087094794334,42.19771389554954,,, ,0.022119692902198774,0.029618268796044157,0.060607958552024645,1.4942102376736823,14.0260343067678,7.551497688148469,,,,51.328992469028904,193.83969965481685,37.39148523599077
49,Gaia DR2 2104890633423618048,CONFIRMED,1.0,KIC 6755944,0.692978457,0.0165,DR25,Gaia DR2 2104890633423618048,283.76403958580505,0.010485592105306358,42.22209915199624,0.012641188714227605,1.4532905739763302,0.013029564289378646,111.537926,-3.530108246210581,0.0221161179797949,-8.711269303977403,0.02278510036597644,-0.02711147,-0.1319582,-0.12098113,-0.047628853,0.33050248,-0.14869834,-0.32677093,-0.2288819,-0.1616891,0.07076409,261.0,0.0,259.0,2.0,-3.4079852,184.13214,0.0,0.0,17.0,0.08548069,0.0,13.408451,0.8382368,0.34231663,0.49592018,4.6,,b'NOT_AVAILABLE',72.10912266810872,17.218662406924597,2.104890633423618e+18,674.695272572996,668.770979316863,680.723553934755,4.6,283.76406010998227,42.22213665884835,-2.04,,Petigura,0.03757844744119954,0.050317541123766185,0.10296494598888675,0.7879192676530893,13.305486134333378,4.262912744475793,41.587855988858706,6.890323564952639,8.99502383226546,201.91192441418096,625.4720254173235,203.68892124385212
50,Gaia DR2 2077689712190423552,CANDIDATE,1.0,KIC 6867588,0.82628442,0.0166,DR25,Gaia DR2 2077689712190423552,293.1369678306537,0.023611566698676877,42.35042497792648,0.02677119109462149,1.1073672486575763,0.030709568121159957,36.059357,-6.16521629707594,0.050392165780524745,-6.896458702945777,0.05279461667505397,-0.02762744,-0.008357811,0.06204548,-0.1640714,0.31312603,-0.2516293,-0.09303565,-0.32412127,-0.2794128,-0.04414018,202.0,0.0,200.0,2.0,5.77738,331.84164,0.17093168887819973,5.480881341961537,15.0,-0.08891335,0.0,14.403887,1.13729,0.49778938,0.6395006,-13.8,,b'NOT_AVAILABLE',75.14528448137693,10.942816858359633,2.0776897121904236e+18,880.857114758164,857.471254127841,905.529835600839,-13.8,293.1370037485304,42.35045467100694,,,Petigura,0.04454809924238924,0.05964990488555919,0.12206179192414653,1.0776400960299681,14.281825003119799,4.679359462431856,44.11779606712985,-12.5362990612476,14.635494555957928,227.30246755653286,856.9910740656624,171.42389515675768
51,Gaia DR2 2105474852056221824,CONFIRMED,1.0,KIC 6934291,0.567856484,0.0125,DR25,Gaia DR2 2105474852056221824,286.8872554946245,0.016538803272301252,42.471227097907985,0.01970839063046431,1.709447176539538,0.019495085384440978,87.68606,-1.317766634696163,0.037212575589840494,-3.366560093267368,0.041260483005875585,-0.029236695,0.04978312,-0.09641415,0.021898694,0.15070374,-0.016621664,-0.3435463,-0.090922914,0.05023802,0.04288027,265.0,0.0,265.0,0.0,-1.6798635,222.94147,0.0,0.0,17.0,0.08073854,0.0,15.044114,1.1716108,0.5149183,0.6566925,-26.0,,b'NOT_AVAILABLE',73.25741050746372,15.1756374561251,2.1054748520562217e+18,575.322109729332,568.892031869555,581.896541386082,-26.0,286.8872631865873,42.47124159281924,,,Petigura,0.0276011547892235,0.03695794626277026,0.07562716412247239,1.1346528859515852,14.968486948731531,6.244557837384043,13.490182938355709,-14.601087494917486,0.15391943488736323,162.64125612667053,540.6512900908556,153.1365399412949
52,Gaia DR2 2077219052496826368,CONFIRMED,0.941,KIC 6964929,0.665025941,0.0153,DR25,Gaia DR2 2077219052496826368,296.2328098695838,0.018506957961634807,42.47279650964336,0.022012397831357826,0.9904131179122038,0.02449045032461255,40.44079,2.5739637549044745,0.038916768552405785,0.37570931071200364,0.03666118017719774,0.009532363,0.12662715,-0.09688075,-0.117154256,0.37906358,-0.23229025,-0.18234377,-0.3467666,-0.116014905,-0.0033482364,222.0,0.0,218.0,4.0,-1.2809248,187.0288,0.0,0.0,14.0,-0.060936064,0.0,14.754552,0.91346073,0.3763857,0.53707504,-29.1,,b'NOT_AVAILABLE',76.33823906500793,8.978514336162993,2.0772190524968264e+18,981.778696909662,958.542783323139,1006.14774082381,-29.1,296.232794844674,42.472794892005076,,,Petigura,0.0837913963657327,0.11219667973371608,0.2295884260421076,0.8012640517726316,14.524963461470099,4.794482912124746,-2.6154191541800498,-12.411077989058402,-7.103939790147949,235.55376581817478,969.0911638779253,157.57473079848975
53,Gaia DR2 2078450196282665088,CANDIDATE,0.999,KIC 6974658,0.7165318509999999,0.0149,DR25,Gaia DR2 2078450196282665088,298.2980940254205,0.012343223341467082,42.43432036524128,0.01389183244579081,2.4588973885383982,0.01498086109529403,164.13593,-11.057124387524972,0.02676108258398252,-7.683042308038203,0.02576329204016945,0.10230699,0.12256281,-0.13127686,-0.023129586,0.3708552,-0.020406118,-0.29284397,-0.050994676,-0.10273543,0.013224902,229.0,0.0,229.0,0.0,-5.7272563,122.88227,0.0,6.713997766802521e-16,16.0,0.10228715,0.0,13.421438,1.0223637,0.4392681,0.58309555,15.0,,b'NOT_AVAILABLE',77.06055742429474,7.632203238950021,2.078450196282665e+18,401.972013326328,399.547601733201,404.425496321678,15.0,298.29815852918676,42.43435344498868,,,Petigura,0.03630373384780965,0.04861069962221712,0.09947223074299844,0.9737529630975095,13.321965986420087,5.400459131853303,37.001008752592185,20.04017508947638,20.17669516987523,90.25886492309067,392.84815422289705,54.01343341997794
55,Gaia DR2 2105538623730974848,CANDIDATE,0.921,KIC 7102227,0.764017553,0.0154,DR25,Gaia DR2 2105538623730974848,286.4100307166823,0.028402446405532585,42.68151367209576,0.027783444196631063,1.411326547874011,0.02926317086648968,48.228764,5.157724618800546,0.057083719287567045,-5.248012680631627,0.05387273234725741,-0.12103277,0.06033848,-0.3691659,0.09927976,0.11184165,0.074748114,-0.36719808,-0.21075462,-0.023338685,-0.06445164,209.0,0.0,208.0,1.0,-0.8680529,185.37854,0.0,0.0,14.0,0.005240375,0.0,15.56481,1.1977406,0.527689,0.6700516,-22.9,,b'NOT_AVAILABLE',73.31631644341563,15.581208216823432,2.1055386237309747e+18,694.62677733334,680.680757361162,709.145412595861,-22.9,286.410000508724,42.681536267701944,,,Petigura,0.03149794805714556,0.0421757524485179,0.08630437767657884,1.1555648023610523,15.478505421517758,6.356052194099215,15.677473152355255,-5.7681201538984626,-20.857236532540057,195.9414624349762,653.7835046974617,190.32017237301585
