pl_hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,hip_name,ra,dec,st_radv,st_radverr1,st_radverr2,st_optmag,st_optmagerr,st_optband,st_bmvj,st_bmvjerr,st_rad,st_raderr1,st_raderr2,st_metfe,st_metfeerr1,st_metfeerr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,pl_disc_refname,pl_letter
Kepler-1322,0.96286738,0.00000204,-0.00000204,,,,,,,,,,,,,,0.144,,293.204521,45.435402,,,,15.810,,Kepler-band,,,0.87,0.11,-0.07,-0.070,0.151,-0.184,5488.00,151.55,-103.39,4.52,0.05,-0.11,4.470,5.790,-2.800,Morton et al. 2016,b
Kepler-1323,0.92990668,0.00000075,-0.00000075,,,,,,,,,,,,,,0.136,,292.872284,46.098885,2.90,0.94,-0.94,12.410,,Kepler-band,,,1.40,0.30,-0.21,0.020,0.082,-0.088,6169.00,74.24,-59.83,4.21,0.14,-0.13,3.550,0.840,-0.960,Morton et al. 2016,b
Kepler-1331,0.78916165,0.00000121,-0.00000121,,,,,,,,,,,,,,0.094,,297.073789,41.224480,,,,15.031,,Kepler-band,,,0.69,0.05,-0.04,0.050,0.155,-0.160,4508.00,243.21,-204.59,4.63,0.03,-0.03,4.170,5.560,-2.410,Morton et al. 2016,b
Kepler-787,0.92831050,0.00000220,-0.00000220,,,,,,,,,,,,,,0.114,,291.692465,38.572907,,,,15.854,,Kepler-band,,,0.62,0.02,-0.02,-0.090,0.105,-0.081,4248.00,40.90,-33.57,4.67,0.01,-0.01,3.390,4.090,-1.780,Morton et al. 2016,b
Kepler-407,0.66931000,,,,,,,,,,,,0.01007,,,1,0.095,,286.036347,49.614506,-24.13,0.64,-0.64,12.521,,Kepler-band,,,1.01,0.07,-0.07,0.330,0.070,-0.070,5476.00,75.00,-75.00,4.43,0.06,-0.06,7.470,,,Marcy et al. 2014,b
KIC 10001893,0.21970000,,,,,,,,,,,,,,,,,,287.389188,46.984489,25.00,,,15.846,,Kepler-band,,,,,,,,,27500.00,200.00,-500.00,5.35,0.05,-0.05,,,,Silvotti et al. 2014,b
KIC 10001893,0.32528000,,,,,,,,,,,,,,,,,,287.389188,46.984489,25.00,,,15.846,,Kepler-band,,,,,,,,,27500.00,200.00,-500.00,5.35,0.05,-0.05,,,,Silvotti et al. 2014,c
KIC 10001893,0.81161000,,,,,,,,,,,,,,,,,,287.389188,46.984489,25.00,,,15.846,,Kepler-band,,,,,,,,,27500.00,200.00,-500.00,5.35,0.05,-0.05,,,,Silvotti et al. 2014,d
Kepler-1589,0.99166527,0.00000784,-0.00000784,,,,,,,,,,,,,,0.097,,294.441792,40.571686,,,,14.978,,Kepler-band,,,1.25,0.50,-0.18,0.080,0.149,-0.145,6166.00,169.76,-232.41,4.32,0.10,-0.23,2.750,1.260,-1.110,Morton et al. 2016,b
Kepler-1604,0.68368426,0.00000063,-0.00000063,,,,,,,,,,,,,,0.126,,285.410633,44.412212,,,,14.915,,Kepler-band,,,0.76,0.03,-0.03,0.020,0.151,-0.164,4976.00,49.62,-51.36,4.59,0.02,-0.04,4.170,6.160,-2.450,Morton et al. 2016,b
Kepler-1446,0.68996783,0.00000050,-0.00000050,,,,,,,,,,,,,,0.073,,289.423960,46.726170,-31.77,3.10,-3.10,12.411,,Kepler-band,,,0.75,0.01,-0.01,0.110,0.102,-0.097,4865.00,43.69,-52.46,4.60,0.01,-0.01,2.630,2.420,-1.120,Morton et al. 2016,b
PSR J1719-1438,0.09070629,0.00000000,-0.00000000,0.004400,,,0.060000,,,,,,1.20000,,,-1,,,259.791971,-14.633600,,,,,,,,,0.04,,,,,,4500.00,,,,,,12.500,,,Bailes et al. 2011,b
WASP-19,0.78883899,0.00000004,-0.00000004,0.016340,0.000240,-0.000240,0.002000,0.014000,-0.002000,78.780,0.580,-0.580,1.06900,0.03800,-0.03700,0,1.392,,148.417002,-45.659191,20.79,0.00,-0.00,12.590,,V (Johnson),,,1.00,0.02,-0.02,0.150,0.070,-0.070,5568.00,71.00,-71.00,4.45,0.05,-0.05,,,,Hebb et al. 2010,b
Kepler-1520,0.65355357,0.00000016,-0.00000016,,,,,,,,,,,,,,0.515,,290.966214,51.504723,,,,15.692,,Kepler-band,,,0.71,0.03,-0.03,0.040,0.144,-0.152,4677.00,82.29,-71.28,4.61,0.02,-0.03,4.470,5.800,-2.530,Morton et al. 2016,b
Kepler-1523,0.93875077,0.00000116,-0.00000116,,,,,,,,,,,,,,0.141,,296.054062,45.827049,,,,14.860,,Kepler-band,,,0.96,0.16,-0.09,0.000,0.142,-0.174,5708.00,150.00,-158.59,4.46,0.07,-0.13,4.370,3.800,-2.660,Morton et al. 2016,b
WASP-43,0.81347500,0.00000100,-0.00000100,0.014200,0.000400,-0.000400,0.000000,,,82.600,1.300,-0.900,1.78000,0.10000,-0.10000,0,0.930,,154.908372,-9.806276,-3.59,0.00,,12.400,,V (Johnson),,,0.60,0.04,,,,,4400.00,200.00,,,,,,,,Hellier et al. 2011,b
Kepler-1547,0.69297968,0.00000149,-0.00000149,,,,,,,,,,,,,,0.080,,283.764074,42.222172,,,,13.447,,Kepler-band,,,1.18,0.36,-0.14,0.040,0.134,-0.151,6078.00,94.46,-139.23,4.34,0.09,-0.19,3.390,1.390,-1.580,Morton et al. 2016,b
Kepler-1559,0.97191543,0.00000379,-0.00000379,,,,,,,,,,,,,,0.064,,292.286580,42.072456,,,,14.500,,Kepler-band,,,0.82,0.06,-0.05,-0.040,0.158,-0.167,5316.00,98.57,-97.87,4.55,0.03,-0.08,4.270,6.000,-2.570,Morton et al. 2016,b
K2-85,0.68453300,0.00001800,-0.00001800,0.012630,0.000370,-0.000370,,,,,,,,,,,0.090,,59.464394,18.465254,-3.94,0.49,-0.49,12.831,0.470,V (Johnson),0.973,0.470,0.51,0.04,-0.04,,,,4268.00,122.00,-122.00,4.78,0.06,-0.06,,,,Crossfield et al. 2016,b
